"","X","Longitude","Latitude","state","MinKm","soil_i_or_is"
"1864",10211,-94.0086078643799,40.7460021972656,"Iowa",17.2588951471817,"58-59-60-61"
"1865",10212,-94.6006202697754,40.7460021972656,"Iowa",8.72326994025561,"129"
"1866",10213,-95.1926326751709,40.7460021972656,"Iowa",29.6875661908486,"28"
"1867",10214,-95.7846450805664,40.7460021972656,"Iowa",47.1814916452723,"28"
"1868",10215,-96.3766574859619,40.7460021972656,"Nebraska",40.5309364975705,"196"
"1869",10216,-96.9686698913574,40.7460021972656,"Nebraska",54.9072943882545,"193-194-195"
"1870",10217,-97.5606822967529,40.7460021972656,"Nebraska",13.953873407609,"193-194-195"
"1871",10218,-98.1526947021484,40.7460021972656,"Nebraska",48.6352746401866,"193-194-195"
"1872",10219,-98.7447071075439,40.7460021972656,"Nebraska",80.7332158823272,"197"
"1873",10220,-99.3367195129395,40.7460021972656,"Nebraska",105.05330974568,"197"
"1874",10221,-99.928731918335,40.7460021972656,"Nebraska",143.18293427059,"197"
"1875",10222,-100.52074432373,40.7460021972656,"Nebraska",168.45774876162,"200"
"1876",10223,-101.112756729126,40.7460021972656,"Nebraska",121.407928920884,"200"
"1877",10224,-101.704769134521,40.7460021972656,"Nebraska",77.9055576564504,"200"
"1878",10225,-102.296781539917,40.7460021972656,"Colorado",48.647539023109,"200"
"1879",10226,-102.888793945312,40.7460021972656,"Colorado",60.2658816380993,"200"
"1880",10227,-103.480806350708,40.7460021972656,"Colorado",91.4688019505586,"199"
"1881",10228,-104.072818756104,40.7460021972656,"Colorado",82.3292260871488,"199"
"1882",10229,-104.664831161499,40.7460021972656,"Colorado",80.0422250660441,"324"
"1883",10230,-105.256843566895,40.7460021972656,"Colorado",92.2984090164242,"324"
"1884",10231,-105.84885597229,40.7460021972656,"Colorado",124.807404236485,"324"
"1885",10232,-106.440868377686,40.7460021972656,"Colorado",163.375049885299,"180"
"1886",10233,-107.032880783081,40.7460021972656,"Colorado",173.739235327791,"180"
"1887",10234,-107.624893188477,40.7460021972656,"Colorado",195.277748334641,"319"
"1888",10235,-108.216905593872,40.7460021972656,"Colorado",197.035984805483,"319"
"1889",10236,-108.808917999268,40.7460021972656,"Colorado",210.665953529875,"319"
"1890",10237,-109.400930404663,40.7460021972656,"Utah",222.956072509383,"160"
"1891",10238,-109.992942810059,40.7460021972656,"Utah",173.771061834191,"160"
"1892",10239,-110.584955215454,40.7460021972656,"Utah",125.139010402728,"160"
"1893",10240,-111.17696762085,40.7460021972656,"Utah",78.1040688883275,"160"
"1894",10241,-111.768980026245,40.7460021972656,"Utah",38.9646038601684,"160"
"1895",10242,-112.360992431641,40.7460021972656,"Utah",43.7488962219128,"160"
"1896",10243,-112.953004837036,40.7460021972656,"Utah",85.36629410726,"160"
"1897",10244,-113.545017242432,40.7460021972656,"Utah",120.02194033272,"314"
"1898",10245,-114.137029647827,40.7460021972656,"Nevada",71.945577916853,"314"
"1899",10246,-114.729042053223,40.7460021972656,"Nevada",31.053165353959,"314"
"1900",10247,-115.321054458618,40.7460021972656,"Nevada",42.0696508446149,"314"
